time,_Eihop,_P0,hops,d,_R,_Nb
5507665847,0.39,0.18,1,135,250,90
5512387569,0.169,0.36,1,135,250,90
5517799051,0.43,0.18,1,135,250,90
5543355632,0.61,0.21,1,135,250,90
5553355658,0.18,0.10,1,135,250,90
5560293323,0.136,0.32,1,135,250,90
5571958166,0.79,0.25,1,135,250,90
5650574455,0.111,0.28,1,135,250,90
5712243971,0.57,0.21,1,135,250,90
5729602866,0.108,0.28,1,135,250,90
5743767826,0.43,0.18,1,135,250,90
5810149629,0.61,0.21,1,135,250,90
5838486587,0.133,0.32,1,135,250,90
5838759054,0.133,0.32,1,135,250,90
5845574978,0.176,0.36,1,135,250,90
5854173526,0.39,0.18,1,135,250,90
5904730572,0.36,0.18,1,135,250,90
5932509109,0.126,0.32,1,135,250,90
5950564733,0.79,0.25,1,135,250,90
5965708112,0.39,0.18,1,135,250,90
5990142860,0.172,0.36,1,135,250,90
5993199345,0.14,0.10,1,135,250,90
6014314735,0.165,0.36,1,135,250,90
6041259019,0.07,0.07,1,135,250,90
6043759013,0.18,0.10,1,135,250,90
6086121171,0.03,0.07,1,135,250,90
6090008973,0.28,0.14,1,135,250,90
6099305982,0.187,0.39,1,135,250,90
6118058852,0.169,0.36,1,135,250,90
6137090078,0.169,0.36,1,135,250,90
6151527602,0.154,0.36,1,135,250,90
6197083205,0.43,0.18,1,135,250,90
6244442356,0.46,0.18,1,135,250,90
6265970961,0.162,0.36,1,135,250,90
6280565320,0.82,0.25,1,135,250,90
6307224101,0.57,0.21,1,135,250,90
6319996225,0.03,0.07,1,135,250,90
6408192430,0.133,0.32,1,135,250,90
6414308688,0.79,0.25,1,135,250,90
6442769599,0.07,0.07,1,135,250,90
6494442511,0.39,0.18,1,135,250,90
6505692588,0.194,0.39,1,135,250,90
6532212173,0.07,0.07,1,135,250,90
6581105795,0.136,0.32,1,135,250,90
6619433751,0.79,0.25,1,135,250,90
6624862133,0.61,0.21,1,135,250,90
6680821515,0.07,0.07,1,135,250,90
6683462139,0.14,0.10,1,135,250,90
6714712161,0.57,0.21,1,135,250,90
6720270578,0.03,0.07,1,135,250,90
6780130053,0.129,0.32,1,135,250,90
6790130006,0.25,0.14,1,135,250,90
6803190333,0.136,0.32,1,135,250,90
6807071520,0.108,0.28,1,135,250,90
6823595952,0.10,0.10,1,135,250,90
6859017905,0.165,0.36,1,135,250,90
6893595891,0.82,0.25,1,135,250,90
6934574996,0.14,0.10,1,135,250,90
6937208246,0.136,0.32,1,135,250,90
6947759115,0.190,0.39,1,135,250,90
6990395615,0.03,0.07,1,135,250,90
7002063647,0.169,0.36,1,135,250,90
7038184400,0.25,0.14,1,135,250,90
7063449406,0.86,0.25,1,135,250,90
7070958215,0.176,0.36,1,135,250,90
7090399641,0.07,0.07,1,135,250,90
7110536368,0.165,0.36,1,135,250,90
7133599354,0.07,0.07,1,135,250,90
7154705304,0.108,0.28,1,135,250,90
7172903150,0.61,0.21,1,135,250,90
7173033450,0.79,0.25,1,135,250,90
7220395522,0.14,0.10,1,135,250,90
7244145603,0.46,0.18,1,135,250,90
7263314703,0.64,0.21,1,135,250,90
7275111516,0.79,0.25,1,135,250,90
7284002171,0.86,0.25,1,135,250,90
7297621844,0.90,0.25,1,135,250,90
7297752147,0.61,0.21,1,135,250,90
7337611486,0.43,0.18,1,135,250,90
7384973729,0.14,0.10,1,135,250,90
7505665334,0.108,0.28,1,135,250,90
7520799053,0.57,0.21,1,135,250,90
7521228347,0.82,0.25,1,135,250,90
