time,_Eihop,_P0,hops,d,_R,_Nb
21544,305911,705,155501,1,135,250,90
19974,307480,707,151976,1,135,250,90
17470,309997,2222,152792,2,67,250,90
19348,308111,514,161719,1,135,250,90
13601,313845,57,150461,2,67,250,90
22533,304922,860,156496,1,135,250,90
13630,313836,55,151002,2,67,250,90
22104,305352,789,155185,1,135,250,90
21686,305781,4386,145998,2,67,250,90
20433,307025,519,161717,1,135,250,90
13080,314369,58,159182,2,67,250,90
22332,305125,414,156966,1,135,250,90
17281,310185,2223,149975,2,67,250,90
23780,303677,701,160445,1,135,250,90
13703,313744,57,154812,2,67,250,90
23615,303840,705,150113,1,135,250,90
17240,310226,2222,148640,2,67,250,90
22436,305020,485,158027,1,135,250,90
12386,315061,57,153975,2,67,250,90
27518,299939,2649,157568,1,135,250,90
13806,313663,55,148570,2,67,250,90
25233,302207,1045,154744,1,135,250,90
13834,313632,55,142163,2,67,250,90
20641,306805,694,153218,1,135,250,90
13438,314030,55,158884,2,67,250,90
20197,307261,538,156981,1,135,250,90
13791,313675,54,151939,2,67,250,90
19489,307966,860,156576,1,135,250,90
13523,313945,55,154181,2,67,250,90
19216,308239,691,151473,1,135,250,90
17257,310208,2204,149302,2,67,250,90
13074,314377,57,161593,2,67,250,90
20865,306591,649,159092,1,135,250,90
13763,313702,55,142735,2,67,250,90
20072,307385,643,158910,1,135,250,90
13423,314044,56,155198,2,67,250,90
21540,305918,474,161662,1,135,250,90
13615,313853,55,156416,2,67,250,90
23515,303942,647,152090,1,135,250,90
13602,313865,55,153431,2,67,250,90
21739,305715,528,158034,1,135,250,90
13478,313989,55,154466,2,67,250,90
23610,303846,731,157321,1,135,250,90
13638,313829,55,158148,2,67,250,90
24038,303416,786,156316,1,135,250,90
13758,313708,54,148084,2,67,250,90
22777,304679,807,152107,1,135,250,90
13572,313895,55,153079,2,67,250,90
22762,304694,753,155830,1,135,250,90
17205,310261,2216,149078,2,67,250,90
21594,305864,521,161718,1,135,250,90
12412,315037,57,154179,2,67,250,90
25242,302212,978,154784,1,135,250,90
13629,313837,110,151872,2,67,250,90
23396,304058,848,154068,1,135,250,90
12648,314809,56,157595,2,67,250,90
20183,307267,918,154190,1,135,250,90
13416,314053,56,151307,2,67,250,90
15960,311501,567,159620,1,135,250,90
13494,313971,55,150526,2,67,250,90
18608,308849,758,154635,1,135,250,90
13743,313724,55,151246,2,67,250,90
19302,308153,812,150988,1,135,250,90
14908,312560,110,147690,2,67,250,90
13057,314399,259,159842,1,135,250,90
13355,314101,57,159251,2,67,250,90
15250,312207,425,160210,1,135,250,90
13596,313871,55,158094,2,67,250,90
14151,313307,358,156569,1,135,250,90
13398,314069,55,158849,2,67,250,90
15862,311598,517,156422,1,135,250,90
13394,314073,55,159313,2,67,250,90
17789,309666,646,153379,1,135,250,90
13785,313682,55,151792,2,67,250,90
15226,312232,588,157373,1,135,250,90
15629,311839,220,154159,2,67,250,90
14007,313450,443,152734,1,135,250,90
14370,313086,113,158339,2,67,250,90
14516,312941,362,156089,1,135,250,90
13622,313835,56,155778,2,67,250,90
14276,313181,404,159182,1,135,250,90
13569,313898,55,153498,2,67,250,90
16093,311364,614,155751,1,135,250,90
13651,313816,55,151406,2,67,250,90
16421,311041,614,157865,1,135,250,90
13841,313627,55,150965,2,67,250,90
17684,309773,672,152999,1,135,250,90
22108,305358,4380,147036,2,67,250,90
19157,308302,634,153353,1,135,250,90
17194,310253,2224,150838,2,67,250,90
18893,308565,432,154955,1,135,250,90
22249,305199,4376,147008,2,67,250,90
19796,307659,599,156050,1,135,250,90
13241,314208,57,155459,2,67,250,90
21261,306195,751,152558,1,135,250,90
17339,310129,2222,151533,2,67,250,90
20925,306533,597,161766,1,135,250,90
13522,313924,57,158904,2,67,250,90
22522,304935,596,160851,1,135,250,90
13635,313833,55,151476,2,67,250,90
22665,304792,468,157718,1,135,250,90
17359,310105,2212,153893,2,67,250,90
25159,302299,525,155933,1,135,250,90
13758,313692,58,154004,2,67,250,90
25835,301618,822,153970,1,135,250,90
17679,309786,2214,152156,2,67,250,90
24250,303204,693,156865,1,135,250,90
12421,315027,57,154605,2,67,250,90
23467,303988,821,155315,1,135,250,90
12518,314950,55,159256,2,67,250,90
22675,304783,575,161430,1,135,250,90
12462,315005,55,153064,2,67,250,90
23363,304093,593,160139,1,135,250,90
12365,315101,55,154623,2,67,250,90
25447,302009,735,157898,1,135,250,90
13502,313967,56,148499,2,67,250,90
24397,303058,738,157624,1,135,250,90
13506,313960,55,154258,2,67,250,90
24917,302537,927,150105,1,135,250,90
13671,313797,56,149104,2,67,250,90
21283,306172,647,154745,1,135,250,90
13707,313759,54,153895,2,67,250,90
22168,305288,761,149033,1,135,250,90
13712,313756,55,150237,2,67,250,90
19158,308297,618,155816,1,135,250,90
17371,310095,2220,152798,2,67,250,90
19082,308375,426,156707,1,135,250,90
12797,314650,114,155857,2,67,250,90
18544,308907,810,155182,1,135,250,90
12545,314912,56,149618,2,67,250,90
16131,311330,569,159862,1,135,250,90
12380,315087,55,152393,2,67,250,90
18243,309214,688,156864,1,135,250,90
12645,314823,56,153070,2,67,250,90
18403,309056,523,154335,1,135,250,90
21857,305611,4381,155463,2,67,250,90
19814,307644,537,151454,1,135,250,90
17741,309708,2221,151371,2,67,250,90
20697,306759,462,158485,1,135,250,90
17980,309467,2222,148705,2,67,250,90
22384,305072,760,148614,1,135,250,90
17829,309620,2214,152861,2,67,250,90
21409,306049,635,161488,1,135,250,90
13427,314019,58,156129,2,67,250,90
22501,304957,424,161625,1,135,250,90
13620,313847,55,155956,2,67,250,90
25489,301966,693,152221,1,135,250,90
17651,309816,2212,147316,2,67,250,90
24251,303204,532,158584,1,135,250,90
26307,301147,737,153529,1,135,250,90
13304,314145,57,161451,2,67,250,90
26419,301038,779,152126,1,135,250,90
20217,307251,2273,149533,2,67,250,90
26322,301134,574,153506,1,135,250,90
27379,300073,810,156235,1,135,250,90
15837,311611,226,154142,2,67,250,90
16637,310820,284,155665,2,67,250,90
27157,300301,944,148935,1,135,250,90
16477,310981,169,151241,2,67,250,90
26275,301176,804,153883,1,135,250,90
17512,309944,337,146638,2,67,250,90
25772,301685,818,159606,1,135,250,90
16999,310459,394,154697,2,67,250,90
26290,301167,713,157370,1,135,250,90
16939,310517,224,143570,2,67,250,90
27582,299872,871,155191,1,135,250,90
27602,299852,819,157630,1,135,250,90
16779,310678,224,149198,2,67,250,90
17662,309795,280,154051,2,67,250,90
28162,299295,1157,142474,1,135,250,90
17398,310060,114,153560,2,67,250,90
18540,308916,281,149601,2,67,250,90
27707,299733,1075,151098,1,135,250,90
14869,312584,112,144881,2,67,250,90
24227,303216,708,156777,1,135,250,90
15917,311541,282,149874,2,67,250,90
24071,303385,543,151650,1,135,250,90
13471,313986,56,157759,2,67,250,90
24340,303115,586,154049,1,135,250,90
13496,313972,55,156479,2,67,250,90
25224,302233,598,159624,1,135,250,90
25775,301680,729,159623,1,135,250,90
13660,313806,54,156020,2,67,250,90
20446,307024,2268,146007,2,67,250,90
27084,300374,871,149723,1,135,250,90
25723,301730,462,158621,1,135,250,90
15390,312053,226,149225,2,67,250,90
16350,311114,113,146941,2,67,250,90
27023,300432,907,150212,1,135,250,90
15193,312260,168,146963,2,67,250,90
26099,301356,815,150925,1,135,250,90
15311,312145,113,154635,2,67,250,90
25402,302053,654,153093,1,135,250,90
24528,302927,766,154501,1,135,250,90
13551,313916,55,157794,2,67,250,90
22690,304762,865,154337,1,135,250,90
16362,311104,331,148031,2,67,250,90
20476,306983,468,161670,1,135,250,90
13592,313865,56,157632,2,67,250,90
